X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2,Y3
0.98,514.5,294,110.25,7,2,0,0,0,21.33,Efficient
0.98,514.5,294,110.25,7,3,0,0,0,21.33,Efficient
0.98,514.5,294,110.25,7,4,0,,0,21.33,Efficient
0.98,514.5,294,110.25,7,5,0,,0,21.33,Efficient
0.9,563.5,318.5,122.5,7,2,0,,0,28.28,Inefficient
0.9,563.5,318.5,122.5,7,3,0,,1,25.38,Inefficient
0.9,563.5,318.5,122.5,7,4,0,,0,25.16,Inefficient
0.9,563.5,318.5,122.5,7,5,0,,0,29.6,Inefficient
0.86,588,294,147,7,2,0,,0,27.3,Inefficient
0.86,588,294,147,7,3,0,,0,21.97,Efficient
0.86,588,294,147,7,4,0,,0,23.49,Efficient
0.86,588,294,147,7,5,0,,0,27.87,Inefficient
0.82,612.5,318.5,147,7,2,0,,0,23.77,Efficient
0.82,612.5,318.5,147,7,3,0,,0,21.46,Efficient
0.82,612.5,318.5,147,7,4,0,0,0,21.16,Efficient
0.82,612.5,318.5,147,7,5,0,0,0,24.93,Inefficient
0.79,637,343,147,7,2,0,0,1,37.73,Inefficient
0.79,637,343,147,7,3,0,0,1,31.27,Inefficient
0.79,637,343,147,7,4,0,,1,30.93,Inefficient
0.79,637,343,147,7,5,0,,1,39.44,Inefficient
0.76,661.5,416.5,122.5,7,2,0,,1,29.79,Inefficient
0.76,661.5,416.5,122.5,7,3,0,0,1,29.68,Inefficient
0.76,661.5,416.5,122.5,7,4,0,0,1,29.79,Inefficient
0.76,661.5,416.5,122.5,7,5,0,,1,29.4,Inefficient
0.74,686,245,220.5,3.5,2,0,0,0,10.9,Efficient
0.74,686,245,220.5,3.5,3,0,0,0,11.19,Efficient
0.74,686,245,220.5,3.5,4,0,,0,10.94,Efficient
0.74,686,245,220.5,3.5,5,0,,0,11.17,Efficient
0.71,710.5,269.5,220.5,3.5,2,0,,0,11.27,Efficient
0.71,710.5,269.5,220.5,3.5,3,0,,0,11.72,Efficient
0.71,710.5,269.5,220.5,3.5,4,0,0,0,11.29,Efficient
0.71,710.5,269.5,220.5,3.5,5,0,,0,11.67,Efficient
0.69,735,294,220.5,3.5,2,0,0,0,11.74,Efficient
0.69,735,294,220.5,3.5,3,0,,0,12.05,Efficient
0.69,735,294,220.5,3.5,4,0,,0,11.73,Efficient
0.69,735,294,220.5,3.5,5,0,,0,11.93,Efficient
0.66,759.5,318.5,220.5,3.5,2,0,,0,12.4,Efficient
0.66,759.5,318.5,220.5,3.5,3,0,,0,12.23,Efficient
0.66,759.5,318.5,220.5,3.5,4,0,,0,12.4,Efficient
0.66,759.5,318.5,220.5,3.5,5,0,,0,12.14,Efficient
0.64,784,343,220.5,3.5,2,0,,0,16.78,Efficient
0.64,784,343,220.5,3.5,3,0,,0,16.8,Efficient
0.64,784,343,220.5,3.5,4,0,,0,16.75,Efficient
0.64,784,343,220.5,3.5,5,0,,0,16.67,Efficient
0.62,808.5,367.5,220.5,3.5,2,0,,0,12.07,Efficient
0.62,808.5,367.5,220.5,3.5,3,0,,0,12.22,Efficient
0.62,808.5,367.5,220.5,3.5,4,0,,0,12.08,Efficient
0.62,808.5,367.5,220.5,3.5,5,0,0,0,12.04,Efficient
0.98,514.5,294,110.25,7,2,0.1,1,1,26.47,Inefficient
0.98,514.5,294,110.25,7,3,0.1,1,1,26.37,Inefficient
0.98,514.5,294,110.25,7,4,0.1,1,1,26.44,Inefficient
0.98,514.5,294,110.25,7,5,0.1,,1,26.29,Inefficient
0.9,563.5,318.5,122.5,7,2,0.1,,1,32.92,Inefficient
0.9,563.5,318.5,122.5,7,3,0.1,,1,29.87,Inefficient
0.9,563.5,318.5,122.5,7,4,0.1,,1,29.58,Inefficient
0.9,563.5,318.5,122.5,7,5,0.1,,1,34.33,Inefficient
0.86,588,294,147,7,2,0.1,,1,30.89,Inefficient
0.86,588,294,147,7,3,0.1,,1,25.6,Inefficient
0.86,588,294,147,7,4,0.1,,1,27.03,Inefficient
0.86,588,294,147,7,5,0.1,,1,31.73,Inefficient
0.82,612.5,318.5,147,7,2,0.1,,1,27.31,Inefficient
0.82,612.5,318.5,147,7,3,0.1,,1,24.91,Inefficient
0.82,612.5,318.5,147,7,4,0.1,,1,24.61,Inefficient
0.82,612.5,318.5,147,7,5,0.1,,1,28.51,Inefficient
0.79,637,343,147,7,2,0.1,,1,41.68,Inefficient
0.79,637,343,147,7,3,0.1,,1,35.28,Inefficient
0.79,637,343,147,7,4,0.1,1,1,34.43,Inefficient
0.79,637,343,147,7,5,0.1,1,1,43.33,Inefficient
0.76,661.5,416.5,122.5,7,2,0.1,1,1,33.87,Inefficient
0.76,661.5,416.5,122.5,7,3,0.1,1,1,34.07,Inefficient
0.76,661.5,416.5,122.5,7,4,0.1,,1,34.14,Inefficient
0.76,661.5,416.5,122.5,7,5,0.1,1,1,33.67,Inefficient
0.74,686,245,220.5,3.5,2,0.1,1,0,13.43,Efficient
0.74,686,245,220.5,3.5,3,0.1,1,0,13.71,Efficient
0.74,686,245,220.5,3.5,4,0.1,,0,13.48,Efficient
0.74,686,245,220.5,3.5,5,0.1,1,0,13.7,Efficient
0.71,710.5,269.5,220.5,3.5,2,0.1,1,0,13.8,Efficient
0.71,710.5,269.5,220.5,3.5,3,0.1,,0,14.28,Efficient
0.71,710.5,269.5,220.5,3.5,4,0.1,1,0,13.87,Efficient
0.71,710.5,269.5,220.5,3.5,5,0.1,1,0,14.27,Efficient
0.69,735,294,220.5,3.5,2,0.1,,0,14.28,Efficient
0.69,735,294,220.5,3.5,3,0.1,1,0,14.61,Efficient
0.69,735,294,220.5,3.5,4,0.1,1,0,14.3,Efficient
0.69,735,294,220.5,3.5,5,0.1,1,0,14.45,Efficient
0.66,759.5,318.5,220.5,3.5,2,0.1,1,0,13.9,Efficient
0.66,759.5,318.5,220.5,3.5,3,0.1,1,0,13.72,Efficient
0.66,759.5,318.5,220.5,3.5,4,0.1,1,0,13.88,Efficient
0.66,759.5,318.5,220.5,3.5,5,0.1,,0,13.65,Efficient
0.64,784,343,220.5,3.5,2,0.1,,0,19.37,Efficient
0.64,784,343,220.5,3.5,3,0.1,,0,19.43,Efficient
0.64,784,343,220.5,3.5,4,0.1,,0,19.34,Efficient
0.64,784,343,220.5,3.5,5,0.1,1,0,19.32,Efficient
0.62,808.5,367.5,220.5,3.5,2,0.1,1,0,14.34,Efficient
0.62,808.5,367.5,220.5,3.5,3,0.1,,0,14.5,Efficient
0.62,808.5,367.5,220.5,3.5,4,0.1,1,0,14.33,Efficient
0.62,808.5,367.5,220.5,3.5,5,0.1,1,0,14.27,Efficient
0.98,514.5,294,110.25,7,2,0.1,2,1,25.95,Inefficient
0.98,514.5,294,110.25,7,3,0.1,2,1,25.63,Inefficient
0.98,514.5,294,110.25,7,4,0.1,2,1,26.13,Inefficient
0.98,514.5,294,110.25,7,5,0.1,,1,25.89,Inefficient
0.9,563.5,318.5,122.5,7,2,0.1,2,1,32.54,Inefficient
0.9,563.5,318.5,122.5,7,3,0.1,,1,29.44,Inefficient
0.9,563.5,318.5,122.5,7,4,0.1,2,1,29.36,Inefficient
0.9,563.5,318.5,122.5,7,5,0.1,2,1,34.2,Inefficient
0.86,588,294,147,7,2,0.1,,1,30.91,Inefficient
0.86,588,294,147,7,3,0.1,,1,25.63,Inefficient
0.86,588,294,147,7,4,0.1,,1,27.36,Inefficient
0.86,588,294,147,7,5,0.1,,1,31.9,Inefficient
0.82,612.5,318.5,147,7,2,0.1,,1,27.38,Inefficient
0.82,612.5,318.5,147,7,3,0.1,,1,25.02,Inefficient
0.82,612.5,318.5,147,7,4,0.1,,1,24.8,Inefficient
0.82,612.5,318.5,147,7,5,0.1,,1,28.79,Inefficient
0.79,637,343,147,7,2,0.1,2,1,41.07,Inefficient
0.79,637,343,147,7,3,0.1,,1,34.62,Inefficient
0.79,637,343,147,7,4,0.1,,1,33.87,Inefficient
0.79,637,343,147,7,5,0.1,,1,42.86,Inefficient
0.76,661.5,416.5,122.5,7,2,0.1,,1,33.91,Inefficient
0.76,661.5,416.5,122.5,7,3,0.1,,1,34.07,Inefficient
0.76,661.5,416.5,122.5,7,4,0.1,,1,34.17,Inefficient
0.76,661.5,416.5,122.5,7,5,0.1,,1,33.78,Inefficient
0.74,686,245,220.5,3.5,2,0.1,,0,13.39,Efficient
0.74,686,245,220.5,3.5,3,0.1,,0,13.72,Efficient
0.74,686,245,220.5,3.5,4,0.1,,0,13.57,Efficient
0.74,686,245,220.5,3.5,5,0.1,,0,13.79,Efficient
0.71,710.5,269.5,220.5,3.5,2,0.1,,0,13.67,Efficient
0.71,710.5,269.5,220.5,3.5,3,0.1,,0,14.11,Efficient
0.71,710.5,269.5,220.5,3.5,4,0.1,,0,13.8,Efficient
0.71,710.5,269.5,220.5,3.5,5,0.1,,0,14.21,Efficient
0.69,735,294,220.5,3.5,2,0.1,,0,13.2,Efficient
0.69,735,294,220.5,3.5,3,0.1,,0,13.54,Efficient
0.69,735,294,220.5,3.5,4,0.1,,0,13.32,Efficient
0.69,735,294,220.5,3.5,5,0.1,,0,13.51,Efficient
0.66,759.5,318.5,220.5,3.5,2,0.1,,0,14.86,Efficient
0.66,759.5,318.5,220.5,3.5,3,0.1,,0,14.75,Efficient
0.66,759.5,318.5,220.5,3.5,4,0.1,,0,15,Efficient
0.66,759.5,318.5,220.5,3.5,5,0.1,,0,14.74,Efficient
0.64,784,343,220.5,3.5,2,0.1,,0,19.23,Efficient
0.64,784,343,220.5,3.5,3,0.1,,0,19.34,Efficient
0.64,784,343,220.5,3.5,4,0.1,,0,19.32,Efficient
0.64,784,343,220.5,3.5,5,0.1,,0,19.3,Efficient
0.62,808.5,367.5,220.5,3.5,2,0.1,,0,14.37,Efficient
0.62,808.5,367.5,220.5,3.5,3,0.1,,0,14.57,Efficient
0.62,808.5,367.5,220.5,3.5,4,0.1,,0,14.27,Efficient
0.62,808.5,367.5,220.5,3.5,5,0.1,,0,14.24,Efficient
0.98,514.5,294,110.25,7,2,0.1,,1,25.68,Inefficient
0.98,514.5,294,110.25,7,3,0.1,,1,26.02,Inefficient
0.98,514.5,294,110.25,7,4,0.1,,1,25.84,Inefficient
0.98,514.5,294,110.25,7,5,0.1,,1,26.14,Inefficient
0.9,563.5,318.5,122.5,7,2,0.1,,1,34.14,Inefficient
0.9,563.5,318.5,122.5,7,3,0.1,,1,32.85,Inefficient
0.9,563.5,318.5,122.5,7,4,0.1,,1,30.08,Inefficient
0.9,563.5,318.5,122.5,7,5,0.1,3,1,29.67,Inefficient
0.86,588,294,147,7,2,0.1,3,1,31.73,Inefficient
0.86,588,294,147,7,3,0.1,,1,31.01,Inefficient
0.86,588,294,147,7,4,0.1,,1,25.9,Inefficient
0.86,588,294,147,7,5,0.1,,1,27.4,Inefficient
0.82,612.5,318.5,147,7,2,0.1,,1,28.68,Inefficient
0.82,612.5,318.5,147,7,3,0.1,,1,27.54,Inefficient
0.82,612.5,318.5,147,7,4,0.1,,1,25.35,Inefficient
0.82,612.5,318.5,147,7,5,0.1,,1,24.93,Inefficient
0.79,637,343,147,7,2,0.1,,1,43.12,Inefficient
0.79,637,343,147,7,3,0.1,,1,41.22,Inefficient
0.79,637,343,147,7,4,0.1,,1,35.1,Inefficient
0.79,637,343,147,7,5,0.1,,1,34.29,Inefficient
0.76,661.5,416.5,122.5,7,2,0.1,,1,33.85,Inefficient
0.76,661.5,416.5,122.5,7,3,0.1,,1,34.11,Inefficient
0.76,661.5,416.5,122.5,7,4,0.1,,1,34.48,Inefficient
0.76,661.5,416.5,122.5,7,5,0.1,,1,34.5,Inefficient
0.74,686,245,220.5,3.5,2,0.1,,0,13.6,Efficient
0.74,686,245,220.5,3.5,3,0.1,,0,13.36,Efficient
0.74,686,245,220.5,3.5,4,0.1,,0,13.65,Efficient
0.74,686,245,220.5,3.5,5,0.1,,0,13.49,Efficient
0.71,710.5,269.5,220.5,3.5,2,0.1,,0,14.14,Efficient
0.71,710.5,269.5,220.5,3.5,3,0.1,,0,13.77,Efficient
0.71,710.5,269.5,220.5,3.5,4,0.1,,0,14.3,Efficient
0.71,710.5,269.5,220.5,3.5,5,0.1,3,0,13.87,Efficient
0.69,735,294,220.5,3.5,2,0.1,3,0,14.44,Efficient
0.69,735,294,220.5,3.5,3,0.1,3,0,14.27,Efficient
0.69,735,294,220.5,3.5,4,0.1,3,0,14.67,Efficient
0.69,735,294,220.5,3.5,5,0.1,3,0,14.4,Efficient
0.66,759.5,318.5,220.5,3.5,2,0.1,,0,13.46,Efficient
0.66,759.5,318.5,220.5,3.5,3,0.1,,0,13.7,Efficient
0.66,759.5,318.5,220.5,3.5,4,0.1,,0,13.59,Efficient
0.66,759.5,318.5,220.5,3.5,5,0.1,3,0,13.83,Efficient
0.64,784,343,220.5,3.5,2,0.1,3,0,19.14,Efficient
0.64,784,343,220.5,3.5,3,0.1,,0,19.18,Efficient
0.64,784,343,220.5,3.5,4,0.1,3,0,19.37,Efficient
0.64,784,343,220.5,3.5,5,0.1,3,0,19.29,Efficient
0.62,808.5,367.5,220.5,3.5,2,0.1,3,0,14.09,Efficient
0.62,808.5,367.5,220.5,3.5,3,0.1,,0,14.23,Efficient
0.62,808.5,367.5,220.5,3.5,4,0.1,3,0,14.14,Efficient
0.62,808.5,367.5,220.5,3.5,5,0.1,3,0,13.89,Efficient
0.98,514.5,294,110.25,7,2,0.1,4,1,25.91,Inefficient
0.98,514.5,294,110.25,7,3,0.1,4,1,25.72,Inefficient
0.98,514.5,294,110.25,7,4,0.1,,1,26.18,Inefficient
0.98,514.5,294,110.25,7,5,0.1,,1,25.87,Inefficient
0.9,563.5,318.5,122.5,7,2,0.1,,1,29.34,Inefficient
0.9,563.5,318.5,122.5,7,3,0.1,,1,33.91,Inefficient
0.9,563.5,318.5,122.5,7,4,0.1,,1,32.83,Inefficient
0.9,563.5,318.5,122.5,7,5,0.1,,1,29.92,Inefficient
0.86,588,294,147,7,2,0.1,,1,27.17,Inefficient
0.86,588,294,147,7,3,0.1,,1,31.76,Inefficient
0.86,588,294,147,7,4,0.1,,1,31.06,Inefficient
0.86,588,294,147,7,5,0.1,,1,25.81,Inefficient
0.82,612.5,318.5,147,7,2,0.1,4,1,24.61,Inefficient
0.82,612.5,318.5,147,7,3,0.1,4,1,28.61,Inefficient
0.82,612.5,318.5,147,7,4,0.1,,1,27.57,Inefficient
0.82,612.5,318.5,147,7,5,0.1,,1,25.16,Inefficient
0.79,637,343,147,7,2,0.1,,1,34.25,Inefficient
0.79,637,343,147,7,3,0.1,,1,43.3,Inefficient
0.79,637,343,147,7,4,0.1,,1,41.86,Inefficient
0.79,637,343,147,7,5,0.1,4,1,35.29,Inefficient
0.76,661.5,416.5,122.5,7,2,0.1,4,1,34.11,Inefficient
0.76,661.5,416.5,122.5,7,3,0.1,,1,33.62,Inefficient
0.76,661.5,416.5,122.5,7,4,0.1,,1,33.89,Inefficient
0.76,661.5,416.5,122.5,7,5,0.1,,1,34.05,Inefficient
0.74,686,245,220.5,3.5,2,0.1,,0,13.2,Efficient
0.74,686,245,220.5,3.5,3,0.1,,0,13.36,Efficient
0.74,686,245,220.5,3.5,4,0.1,,0,13.21,Efficient
0.74,686,245,220.5,3.5,5,0.1,,0,13.53,Efficient
0.71,710.5,269.5,220.5,3.5,2,0.1,,0,13.67,Efficient
0.71,710.5,269.5,220.5,3.5,3,0.1,,0,14.12,Efficient
0.71,710.5,269.5,220.5,3.5,4,0.1,,0,13.79,Efficient
0.71,710.5,269.5,220.5,3.5,5,0.1,,0,14.2,Efficient
0.69,735,294,220.5,3.5,2,0.1,,0,14.29,Efficient
0.69,735,294,220.5,3.5,3,0.1,,0,14.49,Efficient
0.69,735,294,220.5,3.5,4,0.1,4,0,14.42,Efficient
0.69,735,294,220.5,3.5,5,0.1,4,0,14.73,Efficient
0.66,759.5,318.5,220.5,3.5,2,0.1,4,0,14.86,Efficient
0.66,759.5,318.5,220.5,3.5,3,0.1,,0,14.67,Efficient
0.66,759.5,318.5,220.5,3.5,4,0.1,4,0,15,Efficient
0.66,759.5,318.5,220.5,3.5,5,0.1,,0,14.83,Efficient
0.64,784,343,220.5,3.5,2,0.1,,0,19.24,Efficient
0.64,784,343,220.5,3.5,3,0.1,,0,19.25,Efficient
0.64,784,343,220.5,3.5,4,0.1,,0,19.42,Efficient
0.64,784,343,220.5,3.5,5,0.1,,0,19.48,Efficient
0.62,808.5,367.5,220.5,3.5,2,0.1,4,0,14.37,Efficient
0.62,808.5,367.5,220.5,3.5,3,0.1,4,0,14.34,Efficient
0.62,808.5,367.5,220.5,3.5,4,0.1,4,0,14.28,Efficient
0.62,808.5,367.5,220.5,3.5,5,0.1,,0,14.47,Efficient
0.98,514.5,294,110.25,7,2,0.1,,1,25.64,Inefficient
0.98,514.5,294,110.25,7,3,0.1,,1,25.98,Inefficient
0.98,514.5,294,110.25,7,4,0.1,,1,25.88,Inefficient
0.98,514.5,294,110.25,7,5,0.1,,1,26.18,Inefficient
0.9,563.5,318.5,122.5,7,2,0.1,,1,29.82,Inefficient
0.9,563.5,318.5,122.5,7,3,0.1,,1,29.52,Inefficient
0.9,563.5,318.5,122.5,7,4,0.1,,1,34.45,Inefficient
0.9,563.5,318.5,122.5,7,5,0.1,,1,33.01,Inefficient
0.86,588,294,147,7,2,0.1,,1,25.82,Inefficient
0.86,588,294,147,7,3,0.1,,1,27.33,Inefficient
0.86,588,294,147,7,4,0.1,,1,32.04,Inefficient
0.86,588,294,147,7,5,0.1,,1,31.28,Inefficient
0.82,612.5,318.5,147,7,2,0.1,,1,25.11,Inefficient
0.82,612.5,318.5,147,7,3,0.1,,1,24.77,Inefficient
0.82,612.5,318.5,147,7,4,0.1,,1,28.88,Inefficient
0.82,612.5,318.5,147,7,5,0.1,5,1,27.69,Inefficient
0.79,637,343,147,7,2,0.1,,1,34.99,Inefficient
0.79,637,343,147,7,3,0.1,5,1,34.18,Inefficient
